cve,severity,reward,bug_tracker_id,bug_tracker_url,description,reporter,report_date,release_post_url,release_post_title,release_published,raw_line
CVE-2021-38007,High,$TBD,1254189,https://issues.chromium.org/issues/1254189,Type Confusion in V8,SGFvamll,2021-09-29,https://chromereleases.googleblog.com/2021/11/stable-channel-update-for-desktop.html,Stable Channel Update for Desktop,2021-11-15T00:59:00.005-08:00,[$TBD][1254189] High CVE-2021-38007: Type Confusion in V8. Reported by SGFvamll on 2021-09-29
CVE-2021-38012,Medium,$15000,1262791,https://issues.chromium.org/issues/1262791,Type Confusion in V8,Yonghwi Jin (@jinmo123),2021-10-24,https://chromereleases.googleblog.com/2021/11/stable-channel-update-for-desktop.html,Stable Channel Update for Desktop,2021-11-15T00:59:00.005-08:00,[$15000][1262791] Medium CVE-2021-38012: Type Confusion in V8. Reported by Yonghwi Jin (@jinmo123) on 2021-10-24
CVE-2021-38001,High,$N/A,1260577,https://issues.chromium.org/issues/1260577,Type Confusion in V8,@s0rrymybad of Kunlun Lab via Tianfu Cup,2021-10-16,https://chromereleases.googleblog.com/2021/10/stable-channel-update-for-desktop_28.html,Stable Channel Update for Desktop,2021-10-28T14:00:00.003-07:00,[$N/A][1260577] High CVE-2021-38001 : Type Confusion in V8. Reported by @s0rrymybad of Kunlun Lab via Tianfu Cup on 2021-10-16
CVE-2021-38003,High,$N/A,1263462,https://issues.chromium.org/issues/1263462,Inappropriate implementation in V8,Clément Lecigne from Google TAG and Samuel Groß from Google Project Zero,2021-10-26,https://chromereleases.googleblog.com/2021/10/stable-channel-update-for-desktop_28.html,Stable Channel Update for Desktop,2021-10-28T14:00:00.003-07:00,[$N/A][1263462] High CVE-2021-38003 : Inappropriate implementation in V8. Reported by Clément Lecigne from Google TAG and Samuel Groß from Google Project Zero on 2021-10-26
CVE-2021-37985,High,$5000,1241860,https://issues.chromium.org/issues/1241860,Use after free in V8,Yangkang (@dnpushme) of 360 ATA,2021-08-20,https://chromereleases.googleblog.com/2021/10/stable-channel-update-for-desktop_19.html,Stable Channel Update for Desktop,2021-10-19T11:41:00.000-07:00,[$5000][1241860] High CVE-2021-37985 : Use after free in V8. Reported by Yangkang (@dnpushme) of 360 ATA on 2021-08-20
CVE-2021-37991,Medium,$TBD,1250660,https://issues.chromium.org/issues/1250660,Race in V8,Samuel Groß of Google Project Zero,2021-09-17,https://chromereleases.googleblog.com/2021/10/stable-channel-update-for-desktop_19.html,Stable Channel Update for Desktop,2021-10-19T11:41:00.000-07:00,[$TBD][1250660] Medium CVE-2021-37991 : Race in V8. Reported by Samuel Groß of Google Project Zero on 2021-09-17
CVE-2021-37975,High,$TBD,1252918,https://issues.chromium.org/issues/1252918,Use after free in V8,Anonymous,2021-09-24,https://chromereleases.googleblog.com/2021/09/stable-channel-update-for-desktop_30.html,Stable Channel Update for Desktop,2021-09-30T12:13:00.002-07:00,[$TBD][1252918] High CVE-2021-37975 : Use after free in V8. Reported by Anonymous on 2021-09-24
CVE-2021-30632,High,$TBD,1247763,https://issues.chromium.org/issues/1247763,Out of bounds write in V8,Anonymous,2021-09-08,https://chromereleases.googleblog.com/2021/09/stable-channel-update-for-desktop.html,Stable Channel Update for Desktop,2021-09-13T13:23:00.004-07:00,[$TBD][1247763] High CVE-2021-30632: Out of bounds write in V8. Reported by Anonymous on 2021-09-08
CVE-2021-30598,High,$21000,1234764,https://issues.chromium.org/issues/1234764,Type Confusion in V8,Manfred Paul,2021-07-30,https://chromereleases.googleblog.com/2021/08/stable-channel-update-for-desktop.html,Stable Channel Update for Desktop,2021-08-16T18:19:00.000-07:00,[$21000][1234764] High CVE-2021-30598: Type Confusion in V8. Reported by Manfred Paul on 2021-07-30
CVE-2021-30599,High,$21000,1234770,https://issues.chromium.org/issues/1234770,Type Confusion in V8,Manfred Paul,2021-07-30,https://chromereleases.googleblog.com/2021/08/stable-channel-update-for-desktop.html,Stable Channel Update for Desktop,2021-08-16T18:19:00.000-07:00,[$21000][1234770] High CVE-2021-30599: Type Confusion in V8. Reported by Manfred Paul on 2021-07-30
CVE-2021-30588,Low,$5000,1195650,https://issues.chromium.org/issues/1195650,Type Confusion in V8,Jose Martinez (tr0y4) from VerSprite Inc.,2021-04-04,https://chromereleases.googleblog.com/2021/07/stable-channel-update-for-desktop_20.html,Stable Channel Update for Desktop,2021-07-20T14:27:00.005-07:00,[$5000][1195650] Low CVE-2021-30588: Type Confusion in V8. Reported by Jose Martinez (tr0y4) from VerSprite Inc. on 2021-04-04
CVE-2021-30541,High,$5000,1214842,https://issues.chromium.org/issues/1214842,Use after free in V8,Richard Wheeldon,2021-05-31,https://chromereleases.googleblog.com/2021/07/stable-channel-update-for-desktop.html,Stable Channel Update for Desktop,2021-07-15T11:42:00.000-07:00,[$5000][1214842] High CVE-2021-30541: Use after free in V8. Reported by Richard Wheeldon on 2021-05-31
CVE-2021-30561,High,$TBD,1219630,https://issues.chromium.org/issues/1219630,Type Confusion in V8,Sergei Glazunov of Google Project Zero,2021-06-14,https://chromereleases.googleblog.com/2021/07/stable-channel-update-for-desktop.html,Stable Channel Update for Desktop,2021-07-15T11:42:00.000-07:00,[$TBD][1219630] High CVE-2021-30561: Type Confusion in V8. Reported by Sergei Glazunov of Google Project Zero on 2021-06-14
CVE-2021-30563,High,$TBD,1228407,https://issues.chromium.org/issues/1228407,Type Confusion in V8,Anonymous,2021-07-12,https://chromereleases.googleblog.com/2021/07/stable-channel-update-for-desktop.html,Stable Channel Update for Desktop,2021-07-15T11:42:00.000-07:00,[$TBD][1228407] High CVE-2021-30563: Type Confusion in V8. Reported by Anonymous on 2021-07-12
CVE-2021-30551,High,$NA,1216437,https://issues.chromium.org/issues/1216437,Type Confusion in V8,Clement Lecigne of Google's Threat Analysis Group and Sergei Glazunov of Google Project Zero,2021-06-04,https://chromereleases.googleblog.com/2021/06/stable-channel-update-for-desktop.html,Stable Channel Update for Desktop,2021-06-09T11:41:00.001-07:00,[$NA][1216437] High CVE-2021-30551: Type Confusion in V8. Reported by Clement Lecigne of Google's Threat Analysis Group and Sergei Glazunov of Google Project Zero on 2021-06-04
CVE-2021-30536,Low,$15000,1194358,https://issues.chromium.org/issues/1194358,Out of bounds read in V8,Chris Salls (@salls),2021-03-31,https://chromereleases.googleblog.com/2021/05/stable-channel-update-for-desktop_25.html,Stable Channel Update for Desktop,2021-05-25T12:17:00.006-07:00,[$15000][1194358] Low CVE-2021-30536: Out of bounds read in V8. Reported by Chris Salls (@salls) on 2021-03-31
CVE-2021-30513,High,$NA,1200490,https://issues.chromium.org/issues/1200490,Type Confusion in V8,Man Yue Mo of GitHub Security Lab,2021-04-19,https://chromereleases.googleblog.com/2021/05/stable-channel-update-for-desktop.html,Stable Channel Update for Desktop,2021-05-10T12:28:00.000-07:00,[$NA][1200490] High CVE-2021-30513: Type Confusion in V8. Reported by Man Yue Mo of GitHub Security Lab on 2021-04-19
CVE-2021-30517,High,$TBD,1203122,https://issues.chromium.org/issues/1203122,Type Confusion in V8,laural,2021-04-27,https://chromereleases.googleblog.com/2021/05/stable-channel-update-for-desktop.html,Stable Channel Update for Desktop,2021-05-10T12:28:00.000-07:00,[$TBD][1203122] High CVE-2021-30517: Type Confusion in V8. Reported by laural on 2021-04-27
CVE-2021-21227,High,$15000,1199345,https://issues.chromium.org/issues/1199345,Insufficient data validation in V8,Anonymous,2021-04-15,https://chromereleases.googleblog.com/2021/04/stable-channel-update-for-desktop_26.html,Stable Channel Update for Desktop,2021-04-26T13:07:00.005-07:00,[$15000][1199345] High CVE-2021-21227: Insufficient data validation in V8. Reported by Anonymous on 2021-04-15
CVE-2021-21230,Medium,$TBD,1198705,https://issues.chromium.org/issues/1198705,Type Confusion in V8,Manfred Paul,2021-04-13,https://chromereleases.googleblog.com/2021/04/stable-channel-update-for-desktop_26.html,Stable Channel Update for Desktop,2021-04-26T13:07:00.005-07:00,[$TBD][1198705] Medium CVE-2021-21230: Type Confusion in V8. Reported by Manfred Paul on 2021-04-13
CVE-2021-21231,Low,$NA,1198696,https://issues.chromium.org/issues/1198696,Insufficient data validation in V8,Sergei Glazunov of Google Project Zero,2021-04-13,https://chromereleases.googleblog.com/2021/04/stable-channel-update-for-desktop_26.html,Stable Channel Update for Desktop,2021-04-26T13:07:00.005-07:00,[$NA][1198696] Low CVE-2021-21231: Insufficient data validation in V8. Reported by Sergei Glazunov of Google Project Zero on 2021-04-13
CVE-2021-21222,High,$TBD,1194046,https://issues.chromium.org/issues/1194046,Heap buffer overflow in V8,"Guang Gong of Alpha Lab, Qihoo 360",2021-03-30,https://chromereleases.googleblog.com/2021/04/stable-channel-update-for-desktop_20.html,Stable Channel Update for Desktop,2021-04-20T12:36:00.001-07:00,"[$TBD][1194046] High CVE-2021-21222: Heap buffer overflow in V8. Reported by Guang Gong of Alpha Lab, Qihoo 360 on 2021-03-30"
CVE-2021-21224,High,$TBD,1195777,https://issues.chromium.org/issues/1195777,Type Confusion in V8,Jose Martinez (tr0y4) from VerSprite Inc.,2021-04-05,https://chromereleases.googleblog.com/2021/04/stable-channel-update-for-desktop_20.html,Stable Channel Update for Desktop,2021-04-20T12:36:00.001-07:00,[$TBD][1195777] High CVE-2021-21224: Type Confusion in V8. Reported by Jose Martinez (tr0y4) from VerSprite Inc. on 2021-04-05
CVE-2021-21225,High,$22000 + $22000,1195977,https://issues.chromium.org/issues/1195977,Out of bounds memory access in V8,Brendon Tiszka (@btiszka) supporting the EFF,2021-04-05,https://chromereleases.googleblog.com/2021/04/stable-channel-update-for-desktop_20.html,Stable Channel Update for Desktop,2021-04-20T12:36:00.001-07:00,[$22000 + $22000][1195977] High CVE-2021-21225: Out of bounds memory access in V8. Reported by Brendon Tiszka (@btiszka) supporting the EFF on 2021-04-05
