cve,severity,reward,bug_tracker_ids,bug_tracker_urls,description,reporter,report_date,release_published,release_post_url,fix_commit_urls,fix_cl_urls,fix_subjects
CVE-2025-0611,High,$11000,386143468,https://issues.chromium.org/issues/386143468,Object corruption in V8,303f06e3,2024-12-26,2025-01-22T08:13:00.000-08:00,https://chromereleases.googleblog.com/2025/01/stable-channel-update-for-desktop_22.html,https://chromium.googlesource.com/v8/v8/+/b44bd24761f1a2eae131bd90be15b5a68cc70f83 | https://chromium.googlesource.com/v8/v8/+/8164ea8fd9e51b26bc7311e6cab34f95e3336016 | https://chromium.googlesource.com/v8/v8/+/57735707902db3902017129c720df70e00a870f8 | https://chromium.googlesource.com/v8/v8/+/14d323f551b50b8fa4d347190ff5dd7a42e7fa2e,https://chromium-review.googlesource.com/c/v8/v8/+/6157748 | https://chromium-review.googlesource.com/c/v8/v8/+/6158064 | https://chromium-review.googlesource.com/c/v8/v8/+/6172031 | https://chromium-review.googlesource.com/c/v8/v8/+/6172672,[maglev] regalloc: handle non-loop resumable_loops | [maglev] regalloc: Some refactoring and additional checks | [maglev][refactoring] Cleanup handling of unreachable blocks | [M126-LTS][maglev] regalloc: handle non-loop resumable_loops
CVE-2025-0612,High,$8000,385155406,https://issues.chromium.org/issues/385155406,Out of bounds memory access in V8,Alan Goodman,2024-12-20,2025-01-22T08:13:00.000-08:00,https://chromereleases.googleblog.com/2025/01/stable-channel-update-for-desktop_22.html,https://chromium.googlesource.com/v8/v8/+/d35770876597b8c25de3c483b9368686f3a9fda8,https://chromium-review.googlesource.com/c/v8/v8/+/6149093,[compiler] Check max-args when calling bound functions
CVE-2025-0434,High,$7000,374627491,https://issues.chromium.org/issues/374627491,Out of bounds memory access in V8,ddme,2024-10-21,2025-01-14T13:51:00.000-08:00,https://chromereleases.googleblog.com/2025/01/stable-channel-update-for-desktop_14.html,https://chromium.googlesource.com/v8/v8/+/5c3b50c26c50e68dbedf8ff991249e75e46ef06e | https://chromium.googlesource.com/v8/v8/+/3c2d220ad025e2c532ea17289d8d29350f0b722a | https://chromium.googlesource.com/v8/v8/+/7c5364450454daabe31f09768ad4afb898efc91d,https://chromium-review.googlesource.com/c/v8/v8/+/6032225 | https://chromium-review.googlesource.com/c/v8/v8/+/6042925 | https://chromium-review.googlesource.com/c/v8/v8/+/6048230,[interpreter] Fix hole elision scope for switch jump tables | Merged: [interpreter] Fix hole elision scope for switch jump tables | [M126-LTS][interpreter] Fix hole elision scope for switch jump tables
CVE-2025-0291,High,$55000,383356864,https://issues.chromium.org/issues/383356864,Type Confusion in V8,Popax21,2024-12-11,2025-01-07T10:51:00.000-08:00,https://chromereleases.googleblog.com/2025/01/stable-channel-update-for-desktop.html,https://chromium.googlesource.com/v8/v8/+/f231d83cb3c08754413b3ee1aa249cebd4d5445f | https://chromium.googlesource.com/v8/v8/+/c84e01e92bfd61d29541c59e378b9a15ba6fc891 | https://chromium.googlesource.com/v8/v8/+/6661a068e593bd8b5a0b5bee7f9e80a2dc920292 | https://chromium.googlesource.com/v8/v8/+/44ea78c7a36c0ddc3cac9f71234b8aaa6ce1a347 | https://chromium.googlesource.com/v8/v8/+/c36f622fe7964eab16446c18dd852ebc4ef60115,https://chromium-review.googlesource.com/c/v8/v8/+/6087921 | https://chromium-review.googlesource.com/c/v8/v8/+/6092870 | https://chromium-review.googlesource.com/c/v8/v8/+/6097772 | https://chromium-review.googlesource.com/c/v8/v8/+/6162977 | https://chromium-review.googlesource.com/c/v8/v8/+/6163632,[turboshaft][wasm] WasmGCTypeAnalyzer: Fix phi input for single-block loops | [turboshaft][wasm] WasmGCTypeAnalyzer: Fix single-block loops properly | Merged: [turboshaft][wasm] WasmGCTypeAnalyzer: Fix single-block loops properly | [test] Add regression test for crbug.com/383356864 | [fuzzer][wasm] Generate shift of local values
CVE-2024-12692,High,$55000,382291459,https://issues.chromium.org/issues/382291459,Type Confusion in V8,Seunghyun Lee (@0x10n),2024-12-05,2024-12-18T13:32:00.000-08:00,https://chromereleases.googleblog.com/2024/12/stable-channel-update-for-desktop_18.html,https://chromium.googlesource.com/v8/v8/+/3852cf8b5bceed6a76e4537fc0aa191f9ed672a3 | https://chromium.googlesource.com/v8/v8/+/ed5cd496163651ad81699424d2b95a77cffc8c32,https://chromium-review.googlesource.com/c/v8/v8/+/6074536 | https://chromium-review.googlesource.com/c/v8/v8/+/6162737,[wasm] Fix comparison of canonical struct types | [wasm] Add regression tests for relative canonical type indexes
CVE-2024-12693,High,$20000,382190919,https://issues.chromium.org/issues/382190919,Out of bounds memory access in V8,303f06e3,2024-12-04,2024-12-18T13:32:00.000-08:00,https://chromereleases.googleblog.com/2024/12/stable-channel-update-for-desktop_18.html,https://chromium.googlesource.com/v8/v8/+/e4ecfc909687511aeb20b88ce6ae2a7a1a80afe5 | https://chromium.googlesource.com/v8/v8/+/5c4b4ba808a404476aa13bca8ebf55a7d28439a3,https://chromium-review.googlesource.com/c/v8/v8/+/6074772 | https://chromium-review.googlesource.com/c/v8/v8/+/6089731,[maglev] Avoid retagging loop phi backedges too early | [M126-LTS][maglev] Avoid retagging loop phi backedges too early
CVE-2024-12695,High,TBD,383647255,https://issues.chromium.org/issues/383647255,Out of bounds write in V8,303f06e3,2024-12-12,2024-12-18T13:32:00.000-08:00,https://chromereleases.googleblog.com/2024/12/stable-channel-update-for-desktop_18.html,https://chromium.googlesource.com/v8/v8/+/357d0dd4bc7f64eb81cdf49c5cf3699cf151909d,https://chromium-review.googlesource.com/c/v8/v8/+/6092869,[ic] fix Object.assign clearing object hashes
CVE-2024-12381,High,$55000,381696874,https://issues.chromium.org/issues/381696874,Type Confusion in V8,Seunghyun Lee (@0x10n),2024-12-02,2024-12-10T14:13:00.000-08:00,https://chromereleases.googleblog.com/2024/12/stable-channel-update-for-desktop_10.html,https://chromium.googlesource.com/v8/v8/+/a4d354fa54ba3e6a0f061c6b959be408ead5db95 | https://chromium.googlesource.com/v8/v8/+/ed5cd496163651ad81699424d2b95a77cffc8c32,https://chromium-review.googlesource.com/c/v8/v8/+/6063041 | https://chromium-review.googlesource.com/c/v8/v8/+/6162737,[wasm] Fix equality of canonical value types | [wasm] Add regression tests for relative canonical type indexes
CVE-2024-12053,High,$8000,379009132,https://issues.chromium.org/issues/379009132,Type Confusion in V8,gal1ium and chluo,2024-11-14,2024-12-03T10:06:00.000-08:00,https://chromereleases.googleblog.com/2024/12/stable-channel-update-for-desktop.html,https://chromium.googlesource.com/v8/v8/+/20d9a7f760c018183c836283017a321638b66810 | https://chromium.googlesource.com/v8/v8/+/ed5cd496163651ad81699424d2b95a77cffc8c32,https://chromium-review.googlesource.com/c/v8/v8/+/6035175 | https://chromium-review.googlesource.com/c/v8/v8/+/6162737,[wasm] Remove relative type indexes from canonical types | [wasm] Add regression tests for relative canonical type indexes
CVE-2024-11395,High,$8000,377384894,https://issues.chromium.org/issues/377384894,Type Confusion in V8,Anonymous,2024-11-05,2024-11-19T10:13:00.000-08:00,https://chromereleases.googleblog.com/2024/11/stable-channel-update-for-desktop_19.html,https://chromium.googlesource.com/v8/v8/+/ef6ed156f1b78006de28ef262b55468d511d6984,https://chromium-review.googlesource.com/c/v8/v8/+/5993739,[wasm][jspi] Fix stack-switching in unwinder
